model,threads,p50_ms,p95_ms,p99_ms,mean_ms
FP32,1,7.767325500026345,8.26175515212526,8.552973268888307,7.8148228403006215
FP32,2,5.04442049714271,5.507543047497165,5.679544455269934,5.100139859714545
FP32,4,3.5660699977597687,5.01237324970134,5.960214155784342,3.7752670999907423
INT8,1,55.39941450479091,57.92687385182944,58.975040388831985,55.404369980533374
INT8,2,46.789798496320145,48.173343848247896,48.966312978373026,46.515225999755785
INT8,4,48.3356235017709,55.83751105150441,57.260293628278305,48.75188584032003
Fused,1,7.8327494993573055,8.111532248585718,8.205402431485709,7.830679179896833
Fused,2,4.9456159977125935,5.373027597670443,5.778679488576017,4.983937960059848
Fused,4,5.08829350292217,5.371271048352355,5.530278087244369,4.614246360579273
